tasks,variants,memory,xml,generator,description
1,825001,57663488,351,128,759
1,826001,57663488,351,129,756
1,827001,57663488,351,253,1356
1,828001,57663488,351,125,776
1,829001,57663488,351,128,776
1,830001,57663488,351,128,765
1,831001,57663488,351,231,843
1,832001,57663488,351,126,759
1,833001,57663488,351,127,761
1,834001,57663488,351,126,758
1,835001,57663488,351,127,759
1,836001,57663488,351,126,758
1,837001,57663488,351,128,769
1,838001,57663488,351,127,760
1,839001,57663488,351,126,757
1,840001,57663488,351,127,762
1,841001,57663488,351,127,759
1,842001,57663488,351,128,759
1,843001,57663488,351,127,782
1,844001,57663488,351,128,910
1,845001,57663488,351,275,1500
1,846001,57663488,351,134,766
1,847001,57663488,351,126,759
1,848001,57663488,351,126,763
1,849001,57663488,351,128,761
1,850001,57663488,351,126,759
1,851001,57663488,351,127,784
1,852001,57663488,351,126,762
1,853001,57663488,351,126,767
1,854001,57663488,351,126,756
1,855001,57663488,351,127,755
1,856001,57663488,351,127,754
1,857001,57663488,351,126,757
1,858001,57663488,351,128,765
1,859001,57663488,351,127,757
1,860001,57663488,351,127,758
1,861001,57663488,351,128,758
1,862001,57663488,351,128,770
1,863001,57663488,351,128,757
1,864001,57663488,351,126,761
1,865001,57663488,351,126,755
1,866001,57663488,351,137,759
1,867001,57663488,351,126,763
1,868001,57663488,351,127,782
1,869001,57663488,351,125,759
1,870001,57663488,351,127,760
1,871001,57663488,351,127,778
1,872001,57663488,351,126,759
1,873001,57663488,351,125,761
1,874001,57663488,351,129,773
1,875001,57663488,351,125,765
1,876001,57663488,351,126,798
1,877001,57663488,351,125,757
1,878001,57663488,351,126,758
1,879001,57663488,351,126,761
1,880001,57663488,351,129,765
1,881001,57663488,351,127,760
1,882001,57663488,351,127,756
1,883001,57663488,351,127,758
1,884001,57663488,351,129,765
1,885001,57663488,351,127,762
1,886001,57663488,351,127,755
1,887001,57663488,351,128,760
1,888001,57663488,351,128,765
1,889001,57663488,351,126,757
1,890001,57663488,351,126,872
1,891001,57663488,351,126,813
1,892001,57663488,351,126,757
1,893001,57663488,351,126,808
1,894001,57663488,351,125,759
1,895001,57663488,351,252,1512
1,896001,57663488,351,127,770
1,897001,57663488,351,127,761
1,898001,57663488,351,126,840
1,899001,57663488,351,126,760
1,900001,57663488,351,125,761
1,901001,57663488,351,127,787
1,902001,57663488,351,125,760
1,903001,57663488,351,127,755
1,904001,57663488,351,127,758
1,905001,57663488,351,126,762
1,906001,57663488,351,127,763
1,907001,57663488,351,126,765
1,908001,57663488,351,127,777
1,909001,57663488,351,228,1485
1,910001,57663488,351,146,764
1,911001,57663488,351,127,760
1,912001,57663488,351,127,759
1,913001,57663488,351,127,762
1,914001,57663488,351,127,757
1,915001,57663488,351,128,776
1,916001,57663488,351,127,876
1,917001,57663488,351,126,760
1,918001,57663488,351,126,761
1,919001,57663488,351,152,756
1,920001,57663488,351,126,754
